system:index,Category,Cooling_Effect_C,Final_Class,Final_Label,Green_Cover_Percent,Green_Health_Score,ID,Mean_LST_C,Mean_NDVI,Name,Water_Percent,.geo
0,Urban Park / Open Green Space,-0.48291631251111156,4,High,90.53360526290778,68.40809841000171,1,30.108949514383504,0.4746715386007786,Maidan,1.4879821284922,"{""type"":""Point"",""coordinates"":[88.3426,22.550700000000003]}"
1,Lake and Urban Biodiversity,-0.5562636533694842,2,Low,37.81451309935869,39.062921168986946,2,30.182296855241876,0.28551332635146365,Rabindra Sarobar,5.061933821124813,"{""type"":""Point"",""coordinates"":[88.3639,22.5075]}"
2,Urban Lake,-2.0547647551659978,2,Low,30.8429132122049,28.347568284131786,3,31.68079795703839,0.25974746963652173,Subhas Sarobar,0.17292344329370074,"{""type"":""Point"",""coordinates"":[88.3917,22.565699999999996]}"
3,Urban Park,-1.058034419336348,3,Moderate,60.7455358964549,49.58659805696387,4,30.68406762120874,0.37859388008835354,Central Park Salt Lake,0.7251181359757947,"{""type"":""Point"",""coordinates"":[88.412,22.586800000000004]}"
4,Urban Park and Lake,0.8987253576229435,3,Moderate,48.589873082269776,58.46675169043698,5,28.72730784424945,0.15351484341447677,Eco Park New Town,47.92885886058384,"{""type"":""Point"",""coordinates"":[88.465,22.5995]}"
5,Wetland Biodiversity,-1.1685354221012858,3,Moderate,55.569586095474556,51.45870905992449,6,30.794568623973678,0.336958216743159,East Kolkata Wetlands,16.649092446608094,"{""type"":""Point"",""coordinates"":[88.43,22.534999999999997]}"
6,Wetland / Lake,-0.5883583000235646,4,High,80.33032515148818,62.65200994780976,7,30.214391501895957,0.43416609247721,Nalban Wetland,3.187987377319067,"{""type"":""Point"",""coordinates"":[88.415,22.568]}"
7,Botanical Garden,1.2823123514513028,4,High,83.85068721171156,73.51807584964817,8,28.34372085042109,0.5016151987134388,Indian Botanic Garden,3.7870373275157037,"{""type"":""Point"",""coordinates"":[88.2865,22.5588]}"
8,Urban Park,-1.3341429763192636,3,Moderate,76.55507730578083,56.751424408365374,9,30.960176178191656,0.40868342975720673,Elliot Park,1.223546997976021,"{""type"":""Point"",""coordinates"":[88.333,22.543]}"
9,Urban Biodiversity,-1.4618160937980171,2,Low,28.04369536977972,28.355726942543804,10,31.08784929567041,0.24508096914609928,Alipore Zoological Garden,0.19343907611439265,"{""type"":""Point"",""coordinates"":[88.3507,22.535400000000003]}"
